bgg_id,ano,rank,nome
25021,2011,221,Sekigahara: The Unification of Japan
39463,2008,222,Cosmic Encounter
155426,2014,224,Castles of Mad King Ludwig
300531,2020,225,Paleo
128882,2012,228,The Resistance: Avalon
103343,2011,230,A Game of Thrones: The Board Game (Second Edition)
287954,2019,231,Azul: Summer Pavilion
17133,2005,232,Railways of the World
282524,2019,233,Horrified
299659,2021,234,Clash of Cultures: Monumental Edition
31627,2007,235,Ticket to Ride: Nordic Countries
822,2000,236,Carcassonne
70149,2011,237,Ora et Labora
148228,2014,238,Splendor
171131,2016,239,Captain Sonar
400602,2024,240,Civolution
429293,2024,241,The Fellowship of the Ring: Trick-Taking Game
104006,2011,242,Village
123260,2012,243,Suburbia
14105,2006,244,Commands & Colors: Ancients
342070,2023,246,Thunder Road: Vendetta
215,1991,247,Tichu
269207,2019,248,As Tabernas do Vale Profundo
150376,2014,249,Dead of Winter: A Crossroads Game
293014,2020,251,Nidavellir
7854,2003,252,YINSH
9209,2004,253,Ticket to Ride
182631,2015,254,Star Realms: Colony Wars
165722,2014,255,KLASK
245638,2018,256,Coimbra
91,1999,257,Paths of Glory
306735,2020,258,Under Falling Skies
188834,2016,259,Secret Hitler
283155,2020,261,Calico
126042,2013,262,Nations
54998,2009,263,Cyclades
260605,2018,264,Camel Up (Second Edition)
385761,2023,265,Faraway
195421,2017,267,Near and Far
224037,2017,269,Codenames: Duet
367220,2022,270,Sea Salt & Paper
420033,2025,271,Vantage
146886,2014,273,La Granja
232832,2017,274,Century: Golem Edition
158600,2013,276,Hanamikoji
3,1998,277,Samurai
156129,2014,279,Deception: Murder in Hong Kong
192291,2016,280,Sushi Go Party!
232405,2018,281,Western Legends
199478,2016,285,Flamme Rouge
274637,2019,286,"Unmatched: Battle of Legends, Volume One"
416851,2024,287,Castle Combo
176494,2015,288,Isle of Skye: From Chieftain to King
19857,2005,289,Glory to Rome
224783,2018,290,Vindication
169426,2016,291,Roll Player
300322,2020,292,Hallertau
555,2000,293,The Princes of Florence
351913,2022,294,Tiletum
286096,2019,295,Tapestry
311193,2020,296,Anno 1800: The Board Game
228341,2017,297,Pulsar 2849
198994,2016,298,Hero Realms
323612,2021,299,Bitoku
194655,2016,300,Santorini
150145,2013,301,Skull King
9216,2004,303,Goa: A New Expedition
109276,2014,304,Kanban: Driver's Edition
421,1986,308,1830: Railways & Robber Barons
20551,2006,309,Shogun
31481,2007,310,Galaxy Trucker
128621,2013,312,Viticulture
230253,2018,315,Star Realms: Frontiers
284653,2021,317,Mind MGMT: The Psychic Espionage “Game.”
140620,2013,318,Lewis & Clark: The Expedition
27708,2007,319,1960: The Making of the President
127060,2013,320,Bora Bora
760,2000,321,Battle Line
305096,2022,323,Endless Winter: Paleoamericans
204583,2016,324,Kingdomino
223321,2018,325,Detective: A Modern Crime Board Game
2655,2001,326,Hive
206718,2017,327,Ethnos
277085,2019,328,Love Letter
144344,2013,330,Rococo
246784,2018,331,Cryptid
239188,2018,332,Chronicles of Crime
27833,2009,333,Steam
244271,2018,335,Dice Throne: Season Two – Battle Chest
329500,2024,339,Unconscious Mind
108745,2012,340,Seasons
146508,2015,341,T.I.M.E Stories
92828,2011,343,Dixit: Odyssey
50,1999,344,Lost Cities
349067,2022,345,The Lord of the Rings: The Card Game – Revised Core Set
46213,2009,346,Telestrations
350316,2022,347,Wayfarers of the South Tigris
160477,2014,348,Onitama
332800,2021,349,Summoner Wars (Second Edition)
172,1997,351,For Sale
257499,2018,352,Arkham Horror (Third Edition)
295374,2022,353,Long Shot: The Dice Game
155068,2014,354,Arcadia Quest
19777,2005,355,Indonesia
176734,2016,357,The Manhattan Project: Energy Empire
66589,2010,358,Navegador
24181,2006,359,Imperial
5,1963,360,Acquire
319966,2020,361,The King Is Dead: Second Edition
342810,2022,362,Marrakesh
129622,2012,363,Love Letter
97207,2011,364,Dungeon Petz
350933,2022,365,The Guild of Merchant Explorers
345972,2022,367,Cat in the Box: Deluxe Edition
2653,1982,368,Survive: Escape from Atlantis!
38453,2008,369,Space Alert
308119,2021,370,Pax Renaissance: 2nd Edition
22545,2007,371,Age of Empires III: The Age of Discovery
47,1999,373,Chinatown
54,1999,374,Tikal
209685,2017,375,Century: Spice Road
155873,2014,378,Power Grid Deluxe: Europe/North America
260180,2020,379,Project L
143693,2013,380,Glass Road
136888,2013,381,Bruges
234277,2017,382,Nusfjord
227789,2017,383,Heaven & Ale
154203,2014,385,Imperial Settlers
63888,2010,386,Innovation
163967,2015,387,Tiny Epic Galaxies
54138,2009,388,Imperial 2030
181279,2015,389,Fury of Dracula (Third/Fourth Edition)
187617,2017,390,Nemo's War (Second Edition)
188866,2016,391,Awkward Guests: The Walton Case
336986,2022,393,Flamecraft
93260,2011,395,Summoner Wars: Master Set
202426,2017,396,Sidereal Confluence
400366,2024,398,Wondrous Creatures
301880,2020,399,Raiders of Scythia
48726,2010,400,Alien Frontiers
40692,2009,401,Small World
59294,2010,403,Runewars
203420,2016,404,Exit: The Game – The Abandoned Cabin
