BGG-id,Title,Weight,Owner
300877,New York Zoo,1.96,JogoNaMesa (Vasco)
293014,Nidavellir,2.12,JogoNaMesa (Vasco)
184267,On Mars,4.63,JogoNaMesa (Vasco)
160477,Onitama,1.66,JogoNaMesa (Vasco)
164928,Orléans,3.02,JogoNaMesa (Vasco)
266810,Paladins of the West Kingdom,3.71,JogoNaMesa (Vasco)
300531,Paleo,2.65,JogoNaMesa (Vasco)
276498,Paris: La Cité de la Lumière,2.01,JogoNaMesa (Vasco)
163412,Patchwork,1.6,JogoNaMesa (Vasco)
256960,Pax Pamir: Second Edition,3.85,JogoNaMesa (Vasco)
309728,Pessoa,2.7,JogoNaMesa (Vasco)
330592,Phantom Ink,1.17,JogoNaMesa (Vasco)
368017,Point City,1.67,JogoNaMesa (Vasco)
180974,Potion Explosion,1.78,JogoNaMesa (Vasco)
3076,Puerto Rico,3.27,JogoNaMesa (Vasco)
244521,Quacks of Quedlinburg,1.94,JogoNaMesa (Vasco)
12,Ra,2.31,JogoNaMesa (Vasco)
170042,Raiders of the North Sea,2.57,JogoNaMesa (Vasco)
220877,Rajas of the Ganges,2.9,JogoNaMesa (Vasco)
417197,Rebirth,1.95,JogoNaMesa (Vasco)
161417,Red7,1.7,JogoNaMesa (Vasco)
307002,Regicide,1.97,JogoNaMesa (Vasco)
332772,Revive,3.46,JogoNaMesa (Vasco)
402679,Rock Hard: 1977,2.49,JogoNaMesa (Vasco)
237182,Root,3.84,JogoNaMesa (Vasco)
199561,Sagrada,1.92,JogoNaMesa (Vasco)
169786,Scythe,3.45,JogoNaMesa (Vasco)
367220,Sea Salt & Paper,1.48,JogoNaMesa (Vasco)
418059,SETI: Search for Extraterrestrial Intelligence,3.81,JogoNaMesa (Vasco)
157969,Sheriff of Nottingham,1.66,JogoNaMesa (Vasco)
255037,Silk,2.39,JogoNaMesa (Vasco)
92415,Skull,1.12,JogoNaMesa (Vasco)
373106,Sky Team,2.04,JogoNaMesa (Vasco)
364073,Splendor Duel,2.01,JogoNaMesa (Vasco)
63268,Spot It,1.04,JogoNaMesa (Vasco)
323156,Stroganov,3.31,JogoNaMesa (Vasco)
2653,Survive: Escape from Atlantis!,1.69,JogoNaMesa (Vasco)
432,Take 5,1.19,JogoNaMesa (Vasco)
286096,Tapestry,2.97,JogoNaMesa (Vasco)
275870,TEAM3 GREEN,1.27,JogoNaMesa (Vasco)
297030,Tekhenu: Obelisk of the Sun,4.07,JogoNaMesa (Vasco)
46213,Telestrations,1.07,JogoNaMesa (Vasco)
229853,Teotihuacan: City of Gods,3.78,JogoNaMesa (Vasco)
120677,Terra Mystica,3.97,JogoNaMesa (Vasco)
319966,The King Is Dead: Second Edition,2.17,JogoNaMesa (Vasco)
421006,The Lord of the Rings: Duel for Middle-earth,2.06,JogoNaMesa (Vasco)
227224,The Red Cathedral,2.82,JogoNaMesa (Vasco)
279537,The Search for Planet X,2.43,JogoNaMesa (Vasco)
171623,The Voyages of Marco Polo,3.18,JogoNaMesa (Vasco)
342070,Thunder Road: Vendetta,1.97,JogoNaMesa (Vasco)
351913,Tiletum,3.39,JogoNaMesa (Vasco)
1353,Timeline: Music & Cinema,1.09,JogoNaMesa (Vasco)
378200,Triqueta,1.34,JogoNaMesa (Vasco)
73439,Troyes,3.38,JogoNaMesa (Vasco)
257614,Tussie Mussie,1.15,JogoNaMesa (Vasco)
247763,Underwater Cities,3.58,JogoNaMesa (Vasco)
224783,Vindication,3.09,JogoNaMesa (Vasco)
296151,Viscounts of the West Kingdom,3.45,JogoNaMesa (Vasco)
183394,Viticulture Essential Edition,2.9,JogoNaMesa (Vasco)
115746,War of the Ring: Second Edition,4.22,JogoNaMesa (Vasco)
237179,Weather Machine,4.55,JogoNaMesa (Vasco)
403441,Windmill Valley,3.05,JogoNaMesa (Vasco)
266192,Wingspan,2.48,JogoNaMesa (Vasco)
400366,Wondrous Creatures,3.02,JogoNaMesa (Vasco)
